condition,strategy,timeout_ms,run,reset_groups,complete_groups,kf_in_reset,recv_frac_reset,trigger_obj_median
baseline,none,0,1,0,32,0,,
baseline,none,0,2,0,32,0,,
baseline,none,0,3,0,32,0,,
baseline,none,0,4,0,32,0,,
baseline,none,0,5,0,32,0,,
baseline,none,0,6,0,32,0,,
baseline,none,0,7,0,32,0,,
baseline,none,0,8,0,32,0,,
baseline,none,0,9,0,32,0,,
baseline,none,0,10,0,32,0,,
baseline,reset-at-keyframe,100,1,0,32,0,,
baseline,reset-at-keyframe,100,2,0,32,0,,
baseline,reset-at-keyframe,100,3,0,32,0,,
baseline,reset-at-keyframe,100,4,0,32,0,,
baseline,reset-at-keyframe,100,5,0,32,0,,
baseline,reset-at-keyframe,100,6,0,32,0,,
baseline,reset-at-keyframe,100,7,0,32,0,,
baseline,reset-at-keyframe,100,8,0,32,0,,
baseline,reset-at-keyframe,100,9,0,32,0,,
baseline,reset-at-keyframe,100,10,0,32,0,,
baseline,reset-at-keyframe,200,1,0,32,0,,
baseline,reset-at-keyframe,200,2,0,32,0,,
baseline,reset-at-keyframe,200,3,0,32,0,,
baseline,reset-at-keyframe,200,4,0,32,0,,
baseline,reset-at-keyframe,200,5,0,32,0,,
baseline,reset-at-keyframe,200,6,0,32,0,,
baseline,reset-at-keyframe,200,7,0,32,0,,
baseline,reset-at-keyframe,200,8,0,32,0,,
baseline,reset-at-keyframe,200,9,0,32,0,,
baseline,reset-at-keyframe,200,10,0,32,0,,
baseline,reset-at-keyframe,500,1,0,32,0,,
baseline,reset-at-keyframe,500,2,0,32,0,,
baseline,reset-at-keyframe,500,3,0,32,0,,
baseline,reset-at-keyframe,500,4,0,32,0,,
baseline,reset-at-keyframe,500,5,0,32,0,,
baseline,reset-at-keyframe,500,6,0,32,0,,
baseline,reset-at-keyframe,500,7,0,32,0,,
baseline,reset-at-keyframe,500,8,0,32,0,,
baseline,reset-at-keyframe,500,9,0,32,0,,
baseline,reset-at-keyframe,500,10,0,32,0,,
baseline,reset-at-keyframe,1000,1,0,32,0,,
baseline,reset-at-keyframe,1000,2,0,32,0,,
baseline,reset-at-keyframe,1000,3,0,32,0,,
baseline,reset-at-keyframe,1000,4,0,32,0,,
baseline,reset-at-keyframe,1000,5,0,32,0,,
baseline,reset-at-keyframe,1000,6,0,32,0,,
baseline,reset-at-keyframe,1000,7,0,32,0,,
baseline,reset-at-keyframe,1000,8,0,32,0,,
baseline,reset-at-keyframe,1000,9,0,32,0,,
baseline,reset-at-keyframe,1000,10,0,32,0,,
baseline,reset-at-object,100,1,0,32,0,,
baseline,reset-at-object,100,2,0,32,0,,
baseline,reset-at-object,100,3,0,32,0,,
baseline,reset-at-object,100,4,0,32,0,,
baseline,reset-at-object,100,5,0,32,0,,
baseline,reset-at-object,100,6,0,32,0,,
baseline,reset-at-object,100,7,0,32,0,,
baseline,reset-at-object,100,8,0,32,0,,
baseline,reset-at-object,100,9,0,32,0,,
baseline,reset-at-object,100,10,0,32,0,,
baseline,reset-at-object,200,1,0,32,0,,
baseline,reset-at-object,200,2,0,32,0,,
baseline,reset-at-object,200,3,0,32,0,,
baseline,reset-at-object,200,4,0,32,0,,
baseline,reset-at-object,200,5,0,32,0,,
baseline,reset-at-object,200,6,0,32,0,,
baseline,reset-at-object,200,7,0,32,0,,
baseline,reset-at-object,200,8,0,32,0,,
baseline,reset-at-object,200,9,0,32,0,,
baseline,reset-at-object,200,10,0,32,0,,
baseline,reset-at-object,500,1,0,32,0,,
baseline,reset-at-object,500,2,0,32,0,,
baseline,reset-at-object,500,3,0,32,0,,
baseline,reset-at-object,500,4,0,32,0,,
baseline,reset-at-object,500,5,0,32,0,,
baseline,reset-at-object,500,6,0,32,0,,
baseline,reset-at-object,500,7,0,32,0,,
baseline,reset-at-object,500,8,0,32,0,,
baseline,reset-at-object,500,9,0,32,0,,
baseline,reset-at-object,500,10,0,32,0,,
baseline,reset-at-object,1000,1,0,32,0,,
baseline,reset-at-object,1000,2,0,32,0,,
baseline,reset-at-object,1000,3,0,32,0,,
baseline,reset-at-object,1000,4,0,32,0,,
baseline,reset-at-object,1000,5,0,32,0,,
baseline,reset-at-object,1000,6,0,32,0,,
baseline,reset-at-object,1000,7,0,32,0,,
baseline,reset-at-object,1000,8,0,32,0,,
baseline,reset-at-object,1000,9,0,32,0,,
baseline,reset-at-object,1000,10,0,32,0,,
baseline,reset-stream,100,1,0,32,0,,
baseline,reset-stream,100,2,0,32,0,,
baseline,reset-stream,100,3,0,32,0,,
baseline,reset-stream,100,4,0,32,0,,
baseline,reset-stream,100,5,0,32,0,,
baseline,reset-stream,100,6,0,32,0,,
baseline,reset-stream,100,7,0,32,0,,
baseline,reset-stream,100,8,0,32,0,,
baseline,reset-stream,100,9,0,32,0,,
baseline,reset-stream,100,10,0,32,0,,
baseline,reset-stream,200,1,0,32,0,,
baseline,reset-stream,200,2,0,32,0,,
baseline,reset-stream,200,3,0,32,0,,
baseline,reset-stream,200,4,0,32,0,,
baseline,reset-stream,200,5,0,32,0,,
baseline,reset-stream,200,6,0,32,0,,
baseline,reset-stream,200,7,0,32,0,,
baseline,reset-stream,200,8,0,32,0,,
baseline,reset-stream,200,9,0,32,0,,
baseline,reset-stream,200,10,0,32,0,,
baseline,reset-stream,500,1,0,32,0,,
baseline,reset-stream,500,2,0,32,0,,
baseline,reset-stream,500,3,0,32,0,,
baseline,reset-stream,500,4,0,32,0,,
baseline,reset-stream,500,5,0,32,0,,
baseline,reset-stream,500,6,0,32,0,,
baseline,reset-stream,500,7,0,32,0,,
baseline,reset-stream,500,8,0,32,0,,
baseline,reset-stream,500,9,0,32,0,,
baseline,reset-stream,500,10,0,32,0,,
baseline,reset-stream,1000,1,0,32,0,,
baseline,reset-stream,1000,2,0,32,0,,
baseline,reset-stream,1000,3,0,32,0,,
baseline,reset-stream,1000,4,0,32,0,,
baseline,reset-stream,1000,5,0,32,0,,
baseline,reset-stream,1000,6,0,32,0,,
baseline,reset-stream,1000,7,0,32,0,,
baseline,reset-stream,1000,8,0,32,0,,
baseline,reset-stream,1000,9,0,32,0,,
baseline,reset-stream,1000,10,0,32,0,,
congested,none,0,1,0,32,0,,
congested,none,0,2,0,32,0,,
congested,none,0,3,0,32,0,,
congested,none,0,4,0,32,0,,
congested,none,0,5,0,32,0,,
congested,none,0,6,0,32,0,,
congested,none,0,7,0,32,0,,
congested,none,0,8,0,32,0,,
congested,none,0,9,0,32,0,,
congested,none,0,10,0,32,0,,
congested,reset-at-keyframe,100,1,16,16,16,0.0918,1
congested,reset-at-keyframe,100,2,16,16,16,0.0939,1
congested,reset-at-keyframe,100,3,16,16,16,0.0939,1
congested,reset-at-keyframe,100,4,16,16,16,0.0939,1
congested,reset-at-keyframe,100,5,16,16,16,0.0939,1
congested,reset-at-keyframe,100,6,16,16,16,0.0939,1
congested,reset-at-keyframe,100,7,16,16,16,0.0939,1
congested,reset-at-keyframe,100,8,16,16,16,0.0939,1
congested,reset-at-keyframe,100,9,16,16,16,0.0877,1
congested,reset-at-keyframe,100,10,16,16,16,0.0356,1
congested,reset-at-keyframe,200,1,14,18,14,0.1002,1
congested,reset-at-keyframe,200,2,14,18,14,0.1002,1
congested,reset-at-keyframe,200,3,14,18,14,0.1002,1
congested,reset-at-keyframe,200,4,14,18,14,0.1002,1
congested,reset-at-keyframe,200,5,14,18,14,0.1002,1
congested,reset-at-keyframe,200,6,14,18,14,0.1002,1
congested,reset-at-keyframe,200,7,14,18,14,0.1002,1
congested,reset-at-keyframe,200,8,14,18,14,0.1002,1
congested,reset-at-keyframe,200,9,14,18,14,0.1002,1
congested,reset-at-keyframe,200,10,14,18,14,0.1002,1
congested,reset-at-keyframe,500,1,11,21,11,0.0881,1
congested,reset-at-keyframe,500,2,11,21,11,0.0881,1
congested,reset-at-keyframe,500,3,11,21,11,0.0881,1
congested,reset-at-keyframe,500,4,11,21,11,0.0881,1
congested,reset-at-keyframe,500,5,11,21,11,0.0881,1
congested,reset-at-keyframe,500,6,11,21,11,0.0881,1
congested,reset-at-keyframe,500,7,10,22,10,0.0364,1
congested,reset-at-keyframe,500,8,11,21,11,0.0881,1
congested,reset-at-keyframe,500,9,11,21,11,0.0881,1
congested,reset-at-keyframe,500,10,11,21,11,0.0881,1
congested,reset-at-keyframe,1000,1,9,23,9,0.0345,1
congested,reset-at-keyframe,1000,2,9,23,9,0.0345,1
congested,reset-at-keyframe,1000,3,9,23,9,0.0345,1
congested,reset-at-keyframe,1000,4,9,23,9,0.0345,1
congested,reset-at-keyframe,1000,5,9,23,9,0.0345,1
congested,reset-at-keyframe,1000,6,9,23,9,0.0345,1
congested,reset-at-keyframe,1000,7,9,23,9,0.0345,1
congested,reset-at-keyframe,1000,8,9,23,9,0.0345,1
congested,reset-at-keyframe,1000,9,9,23,9,0.0345,1
congested,reset-at-keyframe,1000,10,9,23,9,0.0345,1
congested,reset-at-object,100,1,16,16,16,0.0939,1
congested,reset-at-object,100,2,16,16,16,0.0939,1
congested,reset-at-object,100,3,16,16,16,0.0939,1
congested,reset-at-object,100,4,16,16,16,0.0939,1
congested,reset-at-object,100,5,16,16,16,0.0939,1
congested,reset-at-object,100,6,16,16,16,0.0939,1
congested,reset-at-object,100,7,16,16,16,0.0939,1
congested,reset-at-object,100,8,16,16,16,0.0939,1
congested,reset-at-object,100,9,16,16,16,0.0939,1
congested,reset-at-object,100,10,16,16,16,0.0939,1
congested,reset-at-object,200,1,14,18,14,0.1026,1
congested,reset-at-object,200,2,14,18,14,0.1026,1
congested,reset-at-object,200,3,14,18,14,0.1026,1
congested,reset-at-object,200,4,14,18,14,0.1026,1
congested,reset-at-object,200,5,14,18,14,0.1026,1
congested,reset-at-object,200,6,14,18,14,0.1026,1
congested,reset-at-object,200,7,14,18,14,0.1026,1
congested,reset-at-object,200,8,14,18,14,0.1026,1
congested,reset-at-object,200,9,14,18,14,0.1026,1
congested,reset-at-object,200,10,14,18,14,0.1002,1
congested,reset-at-object,500,1,11,21,11,0.0881,1
congested,reset-at-object,500,2,11,21,11,0.0881,1
congested,reset-at-object,500,3,11,21,11,0.0881,1
congested,reset-at-object,500,4,11,21,11,0.0881,1
congested,reset-at-object,500,5,11,21,11,0.0881,1
congested,reset-at-object,500,6,11,21,11,0.0881,1
congested,reset-at-object,500,7,10,22,10,0.0364,1
congested,reset-at-object,500,8,11,21,11,0.0881,1
congested,reset-at-object,500,9,11,21,11,0.0881,1
congested,reset-at-object,500,10,11,21,11,0.0881,1
congested,reset-at-object,1000,1,9,23,9,0.0345,1
congested,reset-at-object,1000,2,9,23,9,0.0345,1
congested,reset-at-object,1000,3,9,23,9,0.0345,1
congested,reset-at-object,1000,4,9,23,9,0.0345,1
congested,reset-at-object,1000,5,9,23,9,0.0345,1
congested,reset-at-object,1000,6,9,23,9,0.0345,1
congested,reset-at-object,1000,7,9,23,9,0.0345,1
congested,reset-at-object,1000,8,9,23,9,0.0345,1
congested,reset-at-object,1000,9,9,23,9,0.0345,1
congested,reset-at-object,1000,10,9,23,9,0.0345,1
congested,reset-stream,100,1,16,16,3,0.0646,1
congested,reset-stream,100,2,16,16,3,0.0625,1
congested,reset-stream,100,3,16,16,3,0.0646,1
congested,reset-stream,100,4,16,16,3,0.0646,1
congested,reset-stream,100,5,16,16,4,0.0646,1
congested,reset-stream,100,6,16,16,2,0.0604,1
congested,reset-stream,100,7,16,16,5,0.0628,1
congested,reset-stream,100,8,16,16,5,0.0107,1
congested,reset-stream,100,9,16,16,3,0.0625,1
congested,reset-stream,100,10,16,16,5,0.0628,1
congested,reset-stream,200,1,14,18,2,0.069,1
congested,reset-stream,200,2,14,18,2,0.069,1
congested,reset-stream,200,3,14,18,2,0.069,1
congested,reset-stream,200,4,14,18,2,0.069,1
congested,reset-stream,200,5,14,18,2,0.069,1
congested,reset-stream,200,6,14,18,2,0.069,1
congested,reset-stream,200,7,14,18,4,0.0762,1
congested,reset-stream,200,8,14,18,2,0.069,1
congested,reset-stream,200,9,14,18,2,0.069,1
congested,reset-stream,200,10,14,18,2,0.069,1
congested,reset-stream,500,1,11,21,7,0.0732,1
congested,reset-stream,500,2,11,21,9,0.082,1
congested,reset-stream,500,3,11,21,7,0.0755,1
congested,reset-stream,500,4,11,21,7,0.0732,1
congested,reset-stream,500,5,11,21,9,0.0816,1
congested,reset-stream,500,6,10,22,4,0.0133,1
congested,reset-stream,500,7,11,21,9,0.082,1
congested,reset-stream,500,8,11,21,7,0.0732,1
congested,reset-stream,500,9,11,21,7,0.0732,1
congested,reset-stream,500,10,11,21,8,0.079,1
congested,reset-stream,1000,1,9,23,6,0.0234,1
congested,reset-stream,1000,2,9,23,9,0.0345,1
congested,reset-stream,1000,3,9,23,5,0.0197,1
congested,reset-stream,1000,4,9,23,6,0.0234,1
congested,reset-stream,1000,5,9,23,5,0.0197,1
congested,reset-stream,1000,6,9,23,5,0.0197,1
congested,reset-stream,1000,7,9,23,6,0.0228,1
congested,reset-stream,1000,8,9,23,5,0.0197,1
congested,reset-stream,1000,9,9,23,5,0.0197,1
congested,reset-stream,1000,10,9,23,5,0.0197,1
lossy,none,0,1,0,32,0,,
lossy,none,0,2,0,32,0,,
lossy,none,0,3,0,32,0,,
lossy,none,0,4,0,32,0,,
lossy,none,0,5,0,32,0,,
lossy,none,0,6,0,32,0,,
lossy,none,0,7,0,32,0,,
lossy,none,0,8,0,32,0,,
lossy,none,0,9,0,32,0,,
lossy,none,0,10,0,32,0,,
lossy,reset-at-keyframe,100,1,11,21,11,0.0366,1
lossy,reset-at-keyframe,100,2,12,20,12,0.0363,1
lossy,reset-at-keyframe,100,3,10,22,10,0.0369,1
lossy,reset-at-keyframe,100,4,12,20,12,0.0363,1
lossy,reset-at-keyframe,100,5,13,19,13,0.0361,1
lossy,reset-at-keyframe,100,6,13,19,13,0.0361,1
lossy,reset-at-keyframe,100,7,12,20,12,0.0359,1
lossy,reset-at-keyframe,100,8,14,18,14,0.0414,1
lossy,reset-at-keyframe,100,9,14,18,14,0.0355,1
lossy,reset-at-keyframe,100,10,12,20,12,0.0363,1
lossy,reset-at-keyframe,200,1,5,27,5,0.0333,1
lossy,reset-at-keyframe,200,2,3,29,3,0.0333,1
lossy,reset-at-keyframe,200,3,2,30,2,0.0333,1
lossy,reset-at-keyframe,200,4,4,28,4,0.0346,1
lossy,reset-at-keyframe,200,5,6,26,6,0.0376,1
lossy,reset-at-keyframe,200,6,7,25,7,0.0348,1
lossy,reset-at-keyframe,200,7,3,29,3,0.035,1
lossy,reset-at-keyframe,200,8,5,27,5,0.0344,1
lossy,reset-at-keyframe,200,9,2,30,2,0.0359,1
lossy,reset-at-keyframe,200,10,5,27,5,0.0354,1
lossy,reset-at-keyframe,500,1,0,32,0,,
lossy,reset-at-keyframe,500,2,0,32,0,,
lossy,reset-at-keyframe,500,3,0,32,0,,
lossy,reset-at-keyframe,500,4,0,32,0,,
lossy,reset-at-keyframe,500,5,0,32,0,,
lossy,reset-at-keyframe,500,6,0,32,0,,
lossy,reset-at-keyframe,500,7,0,32,0,,
lossy,reset-at-keyframe,500,8,0,32,0,,
lossy,reset-at-keyframe,500,9,0,32,0,,
lossy,reset-at-keyframe,500,10,0,32,0,,
lossy,reset-at-keyframe,1000,1,0,32,0,,
lossy,reset-at-keyframe,1000,2,0,32,0,,
lossy,reset-at-keyframe,1000,3,0,32,0,,
lossy,reset-at-keyframe,1000,4,0,32,0,,
lossy,reset-at-keyframe,1000,5,0,32,0,,
lossy,reset-at-keyframe,1000,6,0,32,0,,
lossy,reset-at-keyframe,1000,7,0,32,0,,
lossy,reset-at-keyframe,1000,8,0,32,0,,
lossy,reset-at-keyframe,1000,9,0,32,0,,
lossy,reset-at-keyframe,1000,10,0,32,0,,
lossy,reset-at-object,100,1,12,20,12,0.0363,1
lossy,reset-at-object,100,2,13,19,13,0.0361,1
lossy,reset-at-object,100,3,12,20,12,0.0363,1
lossy,reset-at-object,100,4,12,20,12,0.0363,1
lossy,reset-at-object,100,5,13,19,13,0.0361,1
lossy,reset-at-object,100,6,13,19,13,0.0361,1
lossy,reset-at-object,100,7,12,20,12,0.0363,1
lossy,reset-at-object,100,8,16,16,16,0.0356,1
lossy,reset-at-object,100,9,11,21,11,0.0366,1
lossy,reset-at-object,100,10,14,18,14,0.0359,1
lossy,reset-at-object,200,1,4,28,4,0.0423,1
lossy,reset-at-object,200,2,5,27,5,0.0344,1
lossy,reset-at-object,200,3,2,30,2,0.0461,1
lossy,reset-at-object,200,4,3,29,3,0.0333,1
lossy,reset-at-object,200,5,2,30,2,0.0333,1
lossy,reset-at-object,200,6,4,28,4,0.0333,1
lossy,reset-at-object,200,7,3,29,3,0.0333,1
lossy,reset-at-object,200,8,4,28,4,0.0346,1
lossy,reset-at-object,200,9,2,30,2,0.0359,1
lossy,reset-at-object,200,10,3,29,3,0.0333,1
lossy,reset-at-object,500,1,0,32,0,,
lossy,reset-at-object,500,2,0,32,0,,
lossy,reset-at-object,500,3,0,32,0,,
lossy,reset-at-object,500,4,0,32,0,,
lossy,reset-at-object,500,5,0,32,0,,
lossy,reset-at-object,500,6,0,32,0,,
lossy,reset-at-object,500,7,0,32,0,,
lossy,reset-at-object,500,8,0,32,0,,
lossy,reset-at-object,500,9,0,32,0,,
lossy,reset-at-object,500,10,0,32,0,,
lossy,reset-at-object,1000,1,0,32,0,,
lossy,reset-at-object,1000,2,0,32,0,,
lossy,reset-at-object,1000,3,0,32,0,,
lossy,reset-at-object,1000,4,0,32,0,,
lossy,reset-at-object,1000,5,0,32,0,,
lossy,reset-at-object,1000,6,0,32,0,,
lossy,reset-at-object,1000,7,0,32,0,,
lossy,reset-at-object,1000,8,0,32,0,,
lossy,reset-at-object,1000,9,0,32,0,,
lossy,reset-at-object,1000,10,0,32,0,,
lossy,reset-stream,100,1,13,19,5,0.0132,1
lossy,reset-stream,100,2,13,19,5,0.0132,1
lossy,reset-stream,100,3,14,18,6,0.0161,1
lossy,reset-stream,100,4,13,19,5,0.0128,1
lossy,reset-stream,100,5,9,23,2,0.0074,1
lossy,reset-stream,100,6,12,20,4,0.0115,1
lossy,reset-stream,100,7,16,16,6,0.0141,1
lossy,reset-stream,100,8,13,19,4,0.0103,1
lossy,reset-stream,100,9,11,21,5,0.0175,1
