condition,strategy,timeout_ms,runs,avg_decodable_s,avg_total_s,avg_decodable_ratio,avg_stall_count,avg_stall_total_s,avg_stall_max_s,avg_progress_s
baseline,none,0,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-at-keyframe,100,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-at-keyframe,200,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-at-keyframe,500,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-at-keyframe,1000,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-at-object,100,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-at-object,200,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-at-object,500,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-at-object,1000,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-stream,100,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-stream,200,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-stream,500,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
baseline,reset-stream,1000,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
congested,none,0,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
congested,reset-at-keyframe,100,10,16.06,30.00,0.5353,0.0,0.00,0.00,29.47
congested,reset-at-keyframe,200,10,18.07,30.00,0.6022,0.0,0.00,0.00,29.47
congested,reset-at-keyframe,500,10,20.66,30.00,0.6887,0.0,0.00,0.00,29.47
congested,reset-at-keyframe,1000,10,21.57,30.00,0.7189,0.0,0.00,0.00,30.00
congested,reset-at-object,100,10,16.17,30.00,0.5389,0.0,0.00,0.00,29.47
congested,reset-at-object,200,10,18.10,30.00,0.6032,0.0,0.00,0.00,29.47
congested,reset-at-object,500,10,20.66,30.00,0.6887,0.0,0.00,0.00,29.47
congested,reset-at-object,1000,10,21.57,30.00,0.7189,0.0,0.00,0.00,30.00
congested,reset-stream,100,10,15.63,30.00,0.5209,3.2,11.74,7.55,27.47
congested,reset-stream,200,10,17.68,30.00,0.5892,3.1,11.10,7.45,27.47
congested,reset-stream,500,10,20.54,30.00,0.6848,2.8,3.19,1.51,28.95
congested,reset-stream,1000,10,21.46,30.00,0.7152,3.3,3.29,0.90,30.00
lossy,none,0,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
lossy,reset-at-keyframe,100,10,18.65,30.00,0.6218,0.2,0.20,0.20,29.47
lossy,reset-at-keyframe,200,10,25.99,30.00,0.8663,0.1,0.10,0.10,29.95
lossy,reset-at-keyframe,500,10,29.90,30.00,0.9967,0.1,0.10,0.10,30.00
lossy,reset-at-keyframe,1000,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
lossy,reset-at-object,100,10,18.33,30.00,0.6109,0.0,0.00,0.00,29.47
lossy,reset-at-object,200,10,27.06,30.00,0.9020,0.0,0.00,0.00,29.89
lossy,reset-at-object,500,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
lossy,reset-at-object,1000,10,29.90,30.00,0.9967,0.1,0.10,0.10,30.00
lossy,reset-stream,100,10,18.35,30.00,0.6116,4.2,7.24,3.49,28.46
lossy,reset-stream,200,10,25.95,30.00,0.8650,1.8,2.45,1.70,29.59
lossy,reset-stream,500,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
lossy,reset-stream,1000,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
severe,none,0,10,30.00,30.00,1.0000,0.0,0.00,0.00,30.00
severe,reset-at-keyframe,100,10,10.99,30.00,0.3663,0.0,0.00,0.00,29.47
severe,reset-at-keyframe,200,10,15.41,30.00,0.5136,0.0,0.00,0.00,29.47
severe,reset-at-keyframe,500,10,18.96,30.00,0.6320,0.0,0.00,0.00,29.47
severe,reset-at-keyframe,1000,10,20.79,30.00,0.6929,0.1,0.10,0.10,29.47
severe,reset-at-object,100,10,10.32,30.00,0.3440,0.4,0.40,0.40,29.47
severe,reset-at-object,200,10,15.73,30.00,0.5242,0.0,0.00,0.00,29.47
severe,reset-at-object,500,10,19.18,30.00,0.6393,0.0,0.00,0.00,29.47
severe,reset-at-object,1000,10,20.80,30.00,0.6933,0.0,0.00,0.00,29.47
severe,reset-stream,100,10,10.28,30.00,0.3426,6.0,9.79,3.29,28.97
severe,reset-stream,200,10,15.58,30.00,0.5194,4.8,6.66,2.27,28.87
severe,reset-stream,500,10,18.88,30.00,0.6292,3.8,4.75,1.92,28.36
severe,reset-stream,1000,10,20.74,30.00,0.6914,2.3,2.50,1.24,29.17
