condition,strategy,timeout_ms,run,group_id,object_id,frame_type,latency_ms
baseline,none,0,1,0,0,I,50.7
baseline,none,0,1,0,1,P,50.7
baseline,none,0,1,0,2,P,50.7
baseline,none,0,1,0,3,P,50.6
baseline,none,0,1,0,4,P,51.8
baseline,none,0,1,0,5,P,56.3
baseline,none,0,1,0,6,P,61.7
baseline,none,0,1,0,7,P,61.7
baseline,none,0,1,0,8,P,61.7
baseline,none,0,1,0,9,P,61.7
baseline,none,0,1,0,10,P,63.8
baseline,none,0,1,0,11,P,63.9
baseline,none,0,1,0,12,P,63.9
baseline,none,0,1,0,13,P,63.9
baseline,none,0,1,0,14,P,50.3
baseline,none,0,1,0,15,P,50.5
baseline,none,0,1,0,16,P,50.3
baseline,none,0,1,0,17,P,50.4
baseline,none,0,1,0,18,P,50.3
baseline,none,0,1,0,19,P,50.3
baseline,none,0,1,0,20,P,50.3
baseline,none,0,1,0,21,P,50.3
baseline,none,0,1,0,22,P,50.3
baseline,none,0,1,0,23,P,50.3
baseline,none,0,1,0,24,P,50.4
baseline,none,0,1,0,25,P,50.4
baseline,none,0,1,0,26,P,50.4
baseline,none,0,1,0,27,P,50.3
baseline,none,0,1,0,28,P,50.4
baseline,none,0,1,0,29,P,50.4
baseline,none,0,1,1,0,I,50.7
baseline,none,0,1,1,1,P,50.4
baseline,none,0,1,1,2,P,50.3
baseline,none,0,1,1,3,P,50.3
baseline,none,0,1,1,4,P,50.4
baseline,none,0,1,1,5,P,50.3
baseline,none,0,1,1,6,P,50.3
baseline,none,0,1,1,7,P,50.5
baseline,none,0,1,1,8,P,50.2
baseline,none,0,1,1,9,P,50.4
baseline,none,0,1,1,10,P,50.4
baseline,none,0,1,1,11,P,50.4
baseline,none,0,1,1,12,P,50.4
baseline,none,0,1,1,13,P,50.4
baseline,none,0,1,1,14,P,50.4
baseline,none,0,1,1,15,P,50.3
baseline,none,0,1,1,16,P,50.4
baseline,none,0,1,1,17,P,50.4
baseline,none,0,1,1,18,P,50.4
baseline,none,0,1,1,19,P,50.4
baseline,none,0,1,1,20,P,50.4
baseline,none,0,1,1,21,P,50.4
baseline,none,0,1,1,22,P,50.5
baseline,none,0,1,1,23,P,50.3
baseline,none,0,1,1,24,P,50.3
baseline,none,0,1,1,25,P,50.4
baseline,none,0,1,1,26,P,50.3
baseline,none,0,1,1,27,P,50.3
baseline,none,0,1,1,28,P,50.4
baseline,none,0,1,1,29,P,50.4
