condition,strategy,timeout_ms,run,num_frames,stall_count,stall_total_s,stall_from_duration_s,stall_max_ms
baseline,none,0,1,883,0,0.0,0,0
baseline,none,0,2,883,0,0.0,0,0
baseline,none,0,3,883,0,0.0,0,0
baseline,none,0,4,883,0,0.0,0,0
baseline,none,0,5,883,0,0.0,0,0
baseline,none,0,6,883,0,0.0,0,0
baseline,none,0,7,883,0,0.0,0,0
baseline,none,0,8,883,0,0.0,0,0
baseline,none,0,9,883,0,0.0,0,0
baseline,none,0,10,883,0,0.0,0,0
baseline,reset-at-keyframe,100,1,883,0,0.0,0,0
baseline,reset-at-keyframe,100,2,883,0,0.0,0,0
baseline,reset-at-keyframe,100,3,883,0,0.0,0,0
baseline,reset-at-keyframe,100,4,883,0,0.0,0,0
baseline,reset-at-keyframe,100,5,883,0,0.0,0,0
baseline,reset-at-keyframe,100,6,883,0,0.0,0,0
baseline,reset-at-keyframe,100,7,883,0,0.0,0,0
baseline,reset-at-keyframe,100,8,883,0,0.0,0,0
baseline,reset-at-keyframe,100,9,883,0,0.0,0,0
baseline,reset-at-keyframe,100,10,883,0,0.0,0,0
baseline,reset-at-keyframe,200,1,883,0,0.0,0,0
baseline,reset-at-keyframe,200,2,883,0,0.0,0,0
baseline,reset-at-keyframe,200,3,883,0,0.0,0,0
baseline,reset-at-keyframe,200,4,883,0,0.0,0,0
baseline,reset-at-keyframe,200,5,883,0,0.0,0,0
baseline,reset-at-keyframe,200,6,883,0,0.0,0,0
baseline,reset-at-keyframe,200,7,883,0,0.0,0,0
baseline,reset-at-keyframe,200,8,883,0,0.0,0,0
baseline,reset-at-keyframe,200,9,883,0,0.0,0,0
baseline,reset-at-keyframe,200,10,883,0,0.0,0,0
baseline,reset-at-keyframe,500,1,883,0,0.0,0,0
baseline,reset-at-keyframe,500,2,883,0,0.0,0,0
baseline,reset-at-keyframe,500,3,883,0,0.0,0,0
baseline,reset-at-keyframe,500,4,883,0,0.0,0,0
baseline,reset-at-keyframe,500,5,883,0,0.0,0,0
baseline,reset-at-keyframe,500,6,883,0,0.0,0,0
baseline,reset-at-keyframe,500,7,883,0,0.0,0,0
baseline,reset-at-keyframe,500,8,883,0,0.0,0,0
baseline,reset-at-keyframe,500,9,883,0,0.0,0,0
baseline,reset-at-keyframe,500,10,883,0,0.0,0,0
baseline,reset-at-keyframe,1000,1,883,0,0.0,0,0
baseline,reset-at-keyframe,1000,2,883,0,0.0,0,0
baseline,reset-at-keyframe,1000,3,883,0,0.0,0,0
baseline,reset-at-keyframe,1000,4,883,0,0.0,0,0
baseline,reset-at-keyframe,1000,5,883,0,0.0,0,0
baseline,reset-at-keyframe,1000,6,883,0,0.0,0,0
baseline,reset-at-keyframe,1000,7,883,0,0.0,0,0
baseline,reset-at-keyframe,1000,8,883,0,0.0,0,0
baseline,reset-at-keyframe,1000,9,883,0,0.0,0,0
baseline,reset-at-keyframe,1000,10,883,0,0.0,0,0
