condition,strategy,timeout_ms,run,frame,stall_ms
congested,none,0,1,296,515.0
congested,none,0,1,326,562.0
congested,none,0,1,356,650.0
congested,none,0,1,381,121.0
congested,none,0,1,386,648.0
congested,none,0,1,416,721.0
congested,none,0,1,446,756.0
congested,none,0,1,472,614.0
congested,none,0,1,486,290.0
congested,none,0,1,502,886.0
congested,none,0,1,532,901.0
congested,none,0,1,562,899.0
congested,none,0,1,588,288.0
congested,none,0,1,867,240.0
congested,none,0,2,296,514.0
congested,none,0,2,326,562.0
congested,none,0,2,356,650.0
congested,none,0,2,381,115.0
congested,none,0,2,386,648.0
congested,none,0,2,416,722.0
congested,none,0,2,446,757.0
congested,none,0,2,472,614.0
congested,none,0,2,488,113.0
congested,none,0,2,494,102.0
congested,none,0,2,502,885.0
congested,none,0,2,532,901.0
congested,none,0,2,562,899.0
congested,none,0,2,588,288.0
congested,none,0,2,867,241.0
congested,none,0,3,296,515.0
congested,none,0,3,326,561.0
congested,none,0,3,356,650.0
congested,none,0,3,381,115.0
congested,none,0,3,386,648.0
congested,none,0,3,416,721.0
congested,none,0,3,446,757.0
congested,none,0,3,472,614.0
congested,none,0,3,488,112.0
congested,none,0,3,494,102.0
congested,none,0,3,502,886.0
congested,none,0,3,532,901.0
congested,none,0,3,562,900.0
congested,none,0,3,588,288.0
congested,none,0,3,866,241.0
congested,none,0,4,296,494.0
congested,none,0,4,326,577.0
congested,none,0,4,356,667.0
congested,none,0,4,386,653.0
congested,none,0,4,416,723.0
congested,none,0,4,445,781.0
congested,none,0,4,471,614.0
congested,none,0,4,493,102.0
congested,none,0,4,501,886.0
congested,none,0,4,531,901.0
congested,none,0,4,561,899.0
congested,none,0,4,587,287.0
congested,none,0,4,865,241.0
congested,none,0,5,296,515.0
congested,none,0,5,326,550.0
congested,none,0,5,356,675.0
congested,none,0,5,381,103.0
congested,none,0,5,386,672.0
congested,none,0,5,416,697.0
congested,none,0,5,446,756.0
congested,none,0,5,472,590.0
congested,none,0,5,494,102.0
congested,none,0,5,502,898.0
congested,none,0,5,518,104.0
congested,none,0,5,532,961.0
congested,none,0,5,562,911.0
congested,none,0,5,588,325.0
congested,none,0,5,867,207.0
congested,none,0,6,296,514.0
congested,none,0,6,326,562.0
congested,none,0,6,356,650.0
