condition,strategy,timeout_ms,run,pub_total,pub_i,pub_p,recv_total,recv_i,recv_p,objects_dropped,groups_reset,groups_complete,delivery_ratio
baseline,none,0,1,900,32,868,900,32,868,0,0,32,1.0000
baseline,none,0,2,900,32,868,900,32,868,0,0,32,1.0000
baseline,none,0,3,900,32,868,900,32,868,0,0,32,1.0000
baseline,none,0,4,900,32,868,900,32,868,0,0,32,1.0000
baseline,none,0,5,900,32,868,900,32,868,0,0,32,1.0000
baseline,none,0,6,900,32,868,900,32,868,0,0,32,1.0000
baseline,none,0,7,900,32,868,900,32,868,0,0,32,1.0000
baseline,none,0,8,900,32,868,900,32,868,0,0,32,1.0000
baseline,none,0,9,900,32,868,900,32,868,0,0,32,1.0000
baseline,none,0,10,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,1000,1,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,100,1,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,200,1,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,500,1,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,1000,2,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,100,2,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,200,2,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,500,2,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,1000,3,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,100,3,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,200,3,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,500,3,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,1000,4,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,100,4,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,200,4,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,500,4,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,1000,5,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,100,5,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,200,5,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,500,5,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,1000,6,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,100,6,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,200,6,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,500,6,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,1000,7,900,32,868,900,32,868,0,0,32,1.0000
baseline,reset-at-keyframe,100,7,900,32,868,900,32,868,0,0,32,1.0000
